[    Occurences Punctuations  Normalised_count
0          183            !          0.037849
1           12            "          0.002482
2          425            '          0.087901
3            1            (          0.000207
4            1            )          0.000207
5         2352            ,          0.486453
6           16            -          0.003309
7         1126            .          0.232885
8           93            :          0.019235
9          323            ;          0.066805
10         303            ?          0.062668,     Occurences Punctuations  Normalised_count
0          102            !          0.023448
1            2            "          0.000460
2          419            '          0.096322
3            3            (          0.000690
4            3            )          0.000690
5            1            +          0.000230
6         2006            ,          0.461149
7           63            -          0.014483
8         1207            .          0.277471
9           39            :          0.008966
10         169            ;          0.038851
11         331            ?          0.076092
12           2            [          0.000460
13           3            ]          0.000690,    Occurences Punctuations  Normalised_count
0         141            !          0.029987
1         623            '          0.132497
2        2108            ,          0.448320
3         144            -          0.030625
4         716            .          0.152276
5         337            :          0.071672
6         397            ;          0.084432
7         230            ?          0.048915
8           3            [          0.000638
9           3            ]          0.000638,     Occurences Punctuations  Normalised_count
0          301            !          0.039086
1            1            &          0.000130
2          954            '          0.123880
3         3178            ,          0.412674
4          412            -          0.053500
5         1246            .          0.161797
6          530            :          0.068822
7          575            ;          0.074666
8          428            ?          0.055577
9           38            [          0.004934
10          38            ]          0.004934,    Occurences Punctuations  Normalised_count
0         213            !          0.046896
1         570            '          0.125495
2        1993            ,          0.438793
3         117            -          0.025760
4         795            .          0.175033
5         284            :          0.062528
6         326            ;          0.071775
7         224            ?          0.049317
8          10            [          0.002202
9          10            ]          0.002202,    Occurences Punctuations  Normalised_count
0         258            !          0.045303
1         713            '          0.125198
2        2534            ,          0.444952
3         171            -          0.030026
4         944            .          0.165759
5         309            :          0.054258
6         407            ;          0.071466
7         291            ?          0.051097
8          34            [          0.005970
9          34            ]          0.005970]
